id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre
71447,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20551-232, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA ISABEL,,MORRO DOS MACACOS,-22.911548666889125,-43.25179105239258,"13/05/2025, 14:54:00",false,false,,Disputa,,,false
71450,"Morro do Andaraí - Andaraí, Rio de Janeiro - RJ, 20541-240, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,ANDARAI,,MORRO DO ANDARAI,-22.93296722	,-43.25643623,"13/05/2025, 23:00:00",false,false,,Disputa,,,false
71459,"Conjunto Cesar Maia - Vargem Pequena, Rio de Janeiro - RJ, 22783-116, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VARGEM PEQUENA,,CONJUNTO CESAR MAIA,-22.9905516	,-43.43146907,"14/05/2025, 04:30:00",true,true,PC,Operação policial,,,false
71464,"Prefeitura Municipal do Rio de Janeiro - R. Roque Barbosa - Jardin Bangu, Bangu, Rio de Janeiro - RJ, 21863-425, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BANGU,,JARDIM BANGU,"-22.848416561343868 ",-43.465340878922824,"14/05/2025, 10:50:00",false,false,,Disputa,,Ataques armados sobre rodas,false
71464,"Prefeitura Municipal do Rio de Janeiro - R. Roque Barbosa - Jardin Bangu, Bangu, Rio de Janeiro - RJ, 21863-425, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BANGU,,JARDIM BANGU,"-22.848416561343868 ",-43.465340878922824,"14/05/2025, 10:50:00",false,false,,Disputa,,Ataques armados sobre rodas,false
71464,"Prefeitura Municipal do Rio de Janeiro - R. Roque Barbosa - Jardin Bangu, Bangu, Rio de Janeiro - RJ, 21863-425, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BANGU,,JARDIM BANGU,"-22.848416561343868 ",-43.465340878922824,"14/05/2025, 10:50:00",false,false,,Disputa,,Ataques armados sobre rodas,false
71463,"Morro do Fubá (Complexo do Fubá) - Cascadura, Rio de Janeiro - RJ, 21311-130, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,CASCADURA,,MORRO DO FUBA (COMPLEXO DO FUBA),-22.892324971301786	,-43.33377861518315,"14/05/2025, 13:25:00",false,false,,Não identificado,,,false
71469,"Saçu, Quintino Bocaiúva, Rio de Janeiro - RJ, 20740-480, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,QUINTINO BOCAIUVA,,MORRO DO SACU (COMPLEXO DO 18),-22.896198264395064,-43.32179275588913,"15/05/2025, 04:00:00",true,true,PM (9 BPM),Operação policial,,,false
71487,"Santa Cruz, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,SANTA CRUZ,,,-22.9208226,-43.6809034,"15/05/2025, 12:00:00",true,true,PC (CORE),Ação policial,,,false
71482,"Rua Arquias Cordeiro, Engenho de Dentro, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,ENGENHO DE DENTRO,,,-22.89562,-43.29105000000001,"15/05/2025, 12:30:00",false,true,,Tentativa/Roubo,,,false
71478,"Rua Roque Barbosa, Jardim Bangu - Bangu, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,BANGU,,JARDIM BANGU,-22.848555,-43.4652765,"15/05/2025, 12:38:00",true,true,PM,Ação policial,,,false
