id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,civilians_dead,civilians_wounded,agents_dead,agents_wounded,men_dead,men_wounded,women_dead,women_wounded,kids_dead,kids_wounded,teenagers_dead,teenagers_wounded,elderly_dead,elderly_wounded,neighborhood_cleaned
31132,"Vila Vintém - Padre Miguel, Rio de Janeiro - RJ, 21721-250, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PADRE MIGUEL,,VILA VINTEM,-22.8720239,-43.4436953,"07/10/2019, 13:39:00",True,True,PM,Operação policial,,,False,0,1,0,1,0,0,0,0,0,0,0,0,0,0,padre miguel
31135,"Barrão, Vila Kennedy, Rio de Janeiro - RJ, 21850-020, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,VILA KENNEDY,,VILA KENNEDY,-22.8604006,-43.4884116,"07/10/2019, 14:02:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,vila kennedy
31136,"Tv. Matos Coutinho - Santa Rosa, Niterói - RJ, 24241, Brasil",Sudeste,Rio de Janeiro,Niterói,SANTA ROSA,,MORRO DO ZULU,-22.9030844,-43.0929133,"07/10/2019, 15:30:00",False,False,,Homicidio/Tentativa,,,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0,santa rosa
31137,"Praça Seca, Rio de Janeiro - RJ, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PRACA SECA,,,-22.8969198,-43.3516802,"07/10/2019, 16:21:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,praca seca
31138,"Palhada, Nova Iguaçu - RJ, 26290-396, Brasil",Sudeste,Rio de Janeiro,Nova Iguaçu,PALHADA,,,-22.7513647,-43.5244401,"07/10/2019, 17:07:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,palhada
31139,"Complexo do Salgueiro, São Gonçalo - RJ, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,SALGUEIRO,,COMPLEXO DO SALGUEIRO,-22.7815204,-43.0242287,"07/10/2019, 17:12:00",False,False,,Disputa,,,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,salgueiro
31140,"Complexo do Salgueiro, São Gonçalo - RJ, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,SALGUEIRO,,COMPLEXO DO SALGUEIRO,-22.7815204,-43.0242287,"07/10/2019, 18:01:00",True,True,N�o identificado,Ação policial,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,salgueiro
31142,"Estr. Conceição, 1101 - Mutuaguaçu, São Gonçalo - RJ, 24461-840, Brasil",Sudeste,Rio de Janeiro,São Gonçalo,ITAUNA,,COMPLEXO DO SALGUEIRO,-22.792486,-43.0304866,"07/10/2019, 19:44:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,itauna
31143,"Parque Analândia, São João de Meriti - RJ, Brasil",Sudeste,Rio de Janeiro,São João de Meriti,PARQUE ARARUAMA,PARQUE ANALANDIA,,-22.7995176,-43.3355012,"07/10/2019, 20:41:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,parque araruama
31145,"Vila Vintém - Padre Miguel, Rio de Janeiro - RJ, 21721-480, Brasil",Sudeste,Rio de Janeiro,Rio de Janeiro,PADRE MIGUEL,,VILA VINTEM,-22.8710072,-43.4430577,"07/10/2019, 21:04:00",False,False,,Não identificado,,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,padre miguel
