,servico,mes_previsto,previsao_furtos,previsao_roubos,previsao_tiroteios_30d,media_furtos_12m,media_roubos_12m,media_tiroteios_12m,periodo_tiroteio_inicio,periodo_tiroteio_fim,score_risco,z_score,nivel_risco
248,801,2026-04,59.6,11.04,13.4,57.08,16.67,10.92,2026-04-01,2026-04-30,0.4485743380855397,-0.19701794431412992,medio
249,802,2026-04,14.02,6.41,7.16,15.58,6.5,6.92,2026-04-01,2026-04-30,0.23380855397148675,-1.0038351182141303,baixo
250,803,2026-04,59.6,11.04,14.04,57.08,16.67,11.75,2026-04-01,2026-04-30,0.45529531568228104,-0.17176904271270743,medio
251,804,2026-04,16.98,6.69,8.39,18.75,4.0,5.5,2026-04-01,2026-04-30,0.28630346232179227,-0.8066258943424137,baixo
252,805,2026-04,48.32,0.0,2.48,47.75,10.75,1.25,2026-04-01,2026-04-30,0.08905295315682281,-1.5476429004326464,baixo
253,807,2026-04,7.12,4.09,2.28,7.0,1.17,1.17,2026-04-01,2026-04-30,0.045112016293279024,-1.712717158629825,baixo
254,808,2026-04,9.49,4.77,3.23,11.75,2.83,1.92,2026-04-01,2026-04-30,0.08910386965376782,-1.54745162087506,baixo
255,809,2026-04,7.12,4.09,2.28,7.0,1.17,1.17,2026-04-01,2026-04-30,0.045112016293279024,-1.712717158629825,baixo
256,810,2026-04,47.94,5.33,8.09,51.33,12.08,6.58,2026-04-01,2026-04-30,0.27393075356415475,-0.8531068268359416,baixo
257,812,2026-04,14.02,6.41,6.47,15.58,6.5,7.42,2026-04-01,2026-04-30,0.22250509164969448,-1.046299179998341,baixo
258,817,2026-04,9.06,0.0,2.66,15.33,3.92,2.67,2026-04-01,2026-04-30,0.02795315682281059,-1.7771783695364873,baixo
259,819,2026-04,6.26,3.33,3.18,3.83,3.67,5.08,2026-04-01,2026-04-30,0.05723014256619145,-1.66719262392423,baixo
260,820,2026-04,13.14,7.42,3.34,13.25,3.42,3.17,2026-04-01,2026-04-30,0.18727087576374746,-1.1786646338482223,baixo
261,821,2026-04,9.49,4.77,3.25,11.75,2.83,1.92,2026-04-01,2026-04-30,0.09551934826883911,-1.5233503966191566,baixo
